2201;Devolução de venda de produção do estabelecimento
2202;Devolução de venda de mercadoria adquirida ou recebida de terceiros
2203;Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio
2204;Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio
2208;Devolução de produção do estabelecimento, remetida em transferência
2553;Devolução de venda de bem do ativo imobilizado
2660;Devolução de venda de combustível ou lubrificante destinado à industrialização subseqüente 
2661;Devolução de venda de combustível ou lubrificante destinado à comercialização
2662;Devolução de venda de combustível ou lubrificante destinado a consumidor ou usuário final 
2918;Devolução de mercadoria remetida em consignação mercantil ou industrial
2919;Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente
